heuristic,size,density,path_length,nodes_expanded,time_sec
Euclidean,30x20,0.2,38,45,0.0008733272552490234
Euclidean,30x20,0.2,43,49,0.0013051033020019531
Euclidean,30x20,0.2,36,38,0.0005784034729003906
Euclidean,30x20,0.2,38,38,0.0008153915405273438
Euclidean,30x20,0.2,35,35,0.0007622241973876953
Euclidean,30x20,0.2,37,37,0.0010175704956054688
Euclidean,30x20,0.2,34,33,0.0007302761077880859
Euclidean,30x20,0.2,44,77,0.0018696784973144531
Euclidean,30x20,0.2,36,38,0.0007004737854003906
Euclidean,30x20,0.2,36,38,0.0007426738739013672
Euclidean,30x20,0.2,40,42,0.001092672348022461
Euclidean,30x20,0.2,38,62,0.0009634494781494141
Euclidean,30x20,0.2,35,35,0.0006902217864990234
Euclidean,30x20,0.2,38,39,0.0008056163787841797
Euclidean,30x20,0.2,35,38,0.0008833408355712891
Euclidean,30x20,0.2,33,35,0.0007650852203369141
Euclidean,30x20,0.2,38,37,0.0007681846618652344
Euclidean,30x20,0.2,33,33,0.0008206367492675781
Euclidean,30x20,0.2,37,37,0.0007326602935791016
Euclidean,30x20,0.2,41,50,0.0010411739349365234
Euclidean,30x20,0.2,43,47,0.0008461475372314453
Diagonal,30x20,0.2,40,49,0.0008885860443115234
Diagonal,30x20,0.2,47,61,0.0012254714965820312
Diagonal,30x20,0.2,42,53,0.0013821125030517578
Diagonal,30x20,0.2,37,40,0.0008678436279296875
Diagonal,30x20,0.2,48,62,0.0015857219696044922
Diagonal,30x20,0.2,45,50,0.0010991096496582031
Diagonal,30x20,0.2,39,45,0.0011854171752929688
Diagonal,30x20,0.2,40,41,0.0011129379272460938
Diagonal,30x20,0.2,42,45,0.0010707378387451172
Diagonal,30x20,0.2,37,37,0.0009582042694091797
Diagonal,30x20,0.2,37,49,0.0016224384307861328
Diagonal,30x20,0.2,44,50,0.0007727146148681641
Diagonal,30x20,0.2,41,46,0.001190185546875
Diagonal,30x20,0.2,39,41,0.0011720657348632812
Diagonal,30x20,0.2,53,61,0.0010750293731689453
Diagonal,30x20,0.2,47,59,0.0011570453643798828
Diagonal,30x20,0.2,39,64,0.001150369644165039
Diagonal,30x20,0.2,37,39,0.0006577968597412109
Diagonal,30x20,0.2,47,53,0.0011174678802490234
Diagonal,30x20,0.2,44,48,0.0008220672607421875
Diagonal,30x20,0.2,41,44,0.0007107257843017578
Diagonal,30x20,0.2,41,45,0.0008759498596191406
Diagonal,30x20,0.2,40,43,0.0009069442749023438
Diagonal,30x20,0.2,43,53,0.0008294582366943359
Diagonal,30x20,0.2,43,49,0.0007898807525634766
Diagonal,30x20,0.2,41,43,0.0012485980987548828
Manhattan,30x20,0.3,38,39,0.0006139278411865234
Manhattan,30x20,0.3,42,53,0.0012438297271728516
Manhattan,30x20,0.3,43,56,0.0013179779052734375
Manhattan,30x20,0.3,50,54,0.0009105205535888672
Manhattan,30x20,0.3,45,48,0.000965118408203125
Manhattan,30x20,0.3,43,53,0.0016968250274658203
Manhattan,30x20,0.3,45,47,0.0013785362243652344
Manhattan,30x20,0.3,57,91,0.002097606658935547
Manhattan,30x20,0.3,56,81,0.0011522769927978516
Manhattan,30x20,0.3,39,46,0.0007979869842529297
Manhattan,30x20,0.3,43,45,0.0007445812225341797
Manhattan,30x20,0.3,35,36,0.0012445449829101562
Manhattan,30x20,0.3,53,65,0.0008957386016845703
Manhattan,30x20,0.3,45,53,0.001253366470336914
Manhattan,30x20,0.3,44,48,0.0011000633239746094
Euclidean,30x20,0.3,43,57,0.0007700920104980469
